t, r
0.561,278.9
0.562,263.4
0.563,244.6
0.564,234.4
0.565,235.8
0.566,246.2
0.567,254.1
0.568,249.4
0.569,237.3
0.57,233
0.571,233.6
0.572,232.5
0.573,231.6
0.574,233.2
0.575,234.7
0.576,235.4
0.577,227
0.578,207.3
0.579,198.6
0.58,208.3
0.581,214.8
0.582,203.9
0.583,188.2
0.584,187
0.585,198.5
0.586,204.2
0.587,199
0.588,196.9
0.589,201.9
0.59,206.4
0.591,201.8
0.592,185
0.593,174.6
0.594,181.1
0.595,188
0.596,182
0.597,170.1
0.598,164.1
0.599,167.1
0.6,168.6
0.601,164.3
0.602,156.2
0.603,142.6
0.604,134.9
0.605,136.4
0.606,143.7
0.607,150.8
0.608,154.3
0.609,150.9
0.61,139.6
0.611,130.9
0.612,131
0.613,138.2
0.614,141.8
0.615,133.7
0.616,128.7
0.617,130.8
0.618,132.4
0.619,130.9
0.62,127.8
0.621,123.8
0.622,111.7
0.623,103.3
0.624,109.8
0.625,109.4
0.626,94.5
0.627,86.2
0.628,90.2
0.629,99.1
0.63,107.1
0.631,108.4
0.632,103.4
0.633,98.8
0.634,101.6
0.635,105.5
0.636,103
0.637,97.9
0.638,94.9
0.639,91.7
0.64,85.7
0.641,80
0.642,82.4
0.643,92.1
0.644,95.8
0.645,86.8
0.646,79.7
0.647,82.4
0.648,83.3
0.649,82.2
0.65,83.4
0.651,81.5
0.652,78.2
0.653,83
0.654,92.4
0.655,93.6
0.656,87.9
0.657,80.2
0.658,68.4
0.659,67.8
0.66,72.5
0.661,71.3
0.662,74.9
0.663,74.5
0.664,61.8
0.665,57.6
0.666,68.4
0.667,75.4
0.668,76.9
0.669,82.6
0.67,88.5
0.671,77.5
0.672,55.1
0.673,50.1
0.674,62.6
0.675,69.1
0.676,67.2
0.677,70.6
0.678,73
0.679,64.6
0.68,54.1
0.681,54.9
0.682,63.7
0.683,64.3
0.684,54
0.685,43.8
0.686,41.5
0.687,44.9
0.688,50.1
0.689,54.4
0.69,55
0.691,49.7
0.692,45.8
0.693,49.1
0.694,53.4
0.695,56.9
0.696,56.4
0.697,56
0.698,56.2
0.699,45.5
0.7,32.1
0.701,31.3
0.702,39.9
0.703,44.6
0.704,40.8
0.705,36.4
0.706,39
0.707,45.7
0.708,46.1
0.709,39.1
0.71,38.5
0.711,46.2
0.712,50.6
0.713,51.4
0.714,57.9
0.715,60.7
0.716,52.9
0.717,44.8
0.718,42.5
0.719,41
0.72,35.1
0.721,31.5
0.722,32.5
0.723,33.6
0.724,32.5
0.725,24.9
0.726,21.2
0.727,32.7
0.728,44.4
0.729,44.9
0.73,40.8
0.731,39
0.732,35.6
0.733,28.8
0.734,25.9
0.735,29.6
0.736,32.5
0.737,31.3
0.738,29.9
0.739,32.2
0.74,36.8
0.741,36.2
0.742,28.9
0.743,25.2
0.744,22.2
0.745,19.6
0.746,22.3
0.747,26.9
0.748,27.9
0.749,27.7
0.75,31.6
0.751,38.1
0.752,40.1
0.753,39.1
0.754,38.8
0.755,36.9
0.756,32.5
0.757,28.4
0.758,29.5
0.759,34.7
0.76,37.1
0.761,31.6
0.762,23.4
0.763,18.8
0.764,17.1
0.765,17.5
0.766,21.2
0.767,24.9
0.768,26.6
0.769,30.6
0.77,37.1
0.771,42.2
0.772,43.7
0.773,42.1
0.774,40
0.775,39.8
0.776,36.6
0.777,29.9
0.778,25.6
0.779,24.1
0.78,22.7
0.781,23.6
0.782,23.9
0.783,22.4
0.784,23.1
0.785,26.3
0.786,26.6
0.787,21.4
0.788,18.9
0.789,23.7
0.79,28.7
0.791,29.9
0.792,30.3
0.793,30.4
0.794,30.6
0.795,32.5
0.796,34.2
0.797,34.9
0.798,32.9
0.799,26.3
0.8,17.2
0.801,13.6
0.802,17
0.803,17.8
0.804,13.8
0.805,8.8
0.806,8.3
0.807,14.2
0.808,18.6
0.809,16
0.81,13.1
0.811,17.2
0.812,22.8
0.813,25
0.814,26.2
0.815,24.1
0.816,19.4
0.817,18.1
0.818,18.4
0.819,19.4
0.82,19
0.821,17.1
0.822,15.3
0.823,8.7
0.824,0.2
0.825,1.5
0.826,9.1
0.827,11.5
0.828,11.1
0.829,10.9
0.83,7.4
0.831,3.5
0.832,6.4
0.833,14.4
0.834,21.4
0.835,27.8
0.836,30.4
0.837,28.9
0.838,20.9
0.839,10.5
0.84,6.4
0.841,7
0.842,9.9
0.843,11.9
0.844,10.8
0.845,6.8
0.846,2.9
0.847,9.2
0.848,18.6
0.849,14.9
0.85,4.4
0.851,1.8
0.852,7
0.853,14
0.854,17.2
0.855,16.1
0.856,15.9
0.857,16.1
0.858,10.3
0.859,2.6
0.86,2.6
0.861,7.7
0.862,10.1
0.863,4.2
0.864,-1.7
0.865,2.7
0.866,8
0.867,8.1
0.868,8
0.869,5.9
0.87,4.2
0.871,3.5
0.872,4.1
0.873,10
0.874,17.6
0.875,20.6
0.876,20.1
0.877,14.6
0.878,7.3
0.879,4.7
0.88,6.5
0.881,3.6
0.882,0.3
0.883,3.6
0.884,6.1
0.885,6.5
0.886,8
0.887,8.1
0.888,8.5
0.889,9.1
0.89,7.4
0.891,7.1
0.892,11.4
0.893,20
0.894,27.2
0.895,26.5
0.896,23.1
0.897,16.2
0.898,7.6
0.899,3.2
0.9,1
0.901,-0.7
0.902,-1.4
0.903,-1.5
0.904,-0.4
0.905,2.2
0.906,-1.1
0.907,-9.3
0.908,-3.9
0.909,11.9
0.91,24
0.911,22.5
0.912,10.7
0.913,2.7
0.914,3.7
0.915,5.5
0.916,2.1
0.917,5.9
0.918,16.3
0.919,16.7
0.92,3.9
0.921,-5
0.922,4.8
0.923,23
0.924,36.6
0.925,35.1
0.926,22.6
0.927,22.3
0.928,32.3
0.929,30
0.93,12.3
0.931,-2.4
0.932,-6
0.933,-2.8
0.934,-1.5
0.935,-9.1
0.936,-16.8
0.937,-16
0.938,-11.6
0.939,-10
0.94,-9.1
0.941,-6.3
0.942,-10.7
0.943,-25.9
0.944,-36.4
0.945,-34.7
0.946,-28.9
0.947,-24.1
0.948,-20
0.949,-19.6
0.95,-23.4
0.951,-30.6
0.952,-37.2
0.953,-37.6
0.954,-35.4
0.955,-34.5
0.956,-38.7
0.957,-42.5
0.958,-41.6
0.959,-41.2
0.96,-43.6
0.961,-52
0.962,-61.2
0.963,-60.3
